"gauge_id","gauge_name","institution","gauge_lat","gauge_lon","gauge_alt","length","n_outliers","n_changepoints"
"X00000010","Remehue","INIA",-40.52,-73.06,74,4053,0,0
"X10360002","Adolfo Matthei","DGA",-40.5883,-73.1069,56,13822,5,1
"X00400009","Canal Bajo Osorno Ad.","DMC",-40.605,-73.0608,59,25617,19,1
"X10322002","Anticura","DGA",-40.6553,-72.1844,348,4794,1,0
"X10356001","Rio Negro En Chahuilco","DGA",-40.7136,-73.2278,40,6203,2,0
"X10323002","Futacuhuin","DGA",-40.7231,-72.44,205,8417,3,0
"X00000012","Desague_Rupanco","INIA",-40.75,-72.66,259,2774,0,0
"X10340002","Rupanco","DGA",-40.7733,-72.6839,175,9194,4,0
"X10340001","Rio Rahue En Desague Lago Rupanco","DGA",-40.7889,-72.6889,123,4020,0,0
"X00000013","La_Pampa","INIA",-40.86,-73.15,95,3984,0,0
"X10355001","Purranque","DGA",-40.9367,-73.1372,135,7223,1,0
"X00000014","Octay","INIA",-40.95,-72.88,174,3546,0,0
"X00000015","Quilanto","INIA",-41.03,-72.99,161,3430,0,0
"X00000016","Polizones","INIA",-41.11,-73.37,182,3546,0,0
"X10410004","Frutillar","DGA",-41.1267,-73.0611,145,9219,1,0
"X00087765","Bariloche_Aero","SMN",-41.15,-71.1667,835,22277,8,2
"X10350001","Fresia","DGA",-41.1533,-73.4111,142,9268,5,0
"X00000017","Colegual","INIA",-41.22,-73.25,179,3553,0,0
"X10410005","La Ensenada","DGA",-41.2269,-72.5681,66,12791,3,0
"X00000018","Ensenada","INIA",-41.23,-72.51,63,2729,0,0
"X00087774","Maquinchao","SMN",-41.25,-68.7333,897,22148,13,0
"X00001824","Central_Frey","RHN",-41.3579,-71.5629,813,10509,2,1
"X00001806","Manso_Los_Alerces","RHN",-41.3737,-71.7459,776,22062,8,2
"X10430001","Lago Chapo","DGA",-41.4172,-72.5958,275,5696,1,0
"X10430005","Lago Chapo (Lm)","DGA",-41.4297,-72.5764,251,2351,0,0
"X00410005","El Tepual Puerto Montt Ap.","DMC",-41.435,-73.0978,84,26103,5,2
"X10425001","Puerto Montt","DGA",-41.46,-72.9378,97,14836,8,3
"X00000019","Los_Canelos","INIA",-41.48,-73.47,107,4080,0,0
"X00002300","Lago_Steffen_Muelle","RHN",-41.5062,-71.542,549,5862,1,1
"X00001822","Manso_Inferior","RHN",-41.556,-71.7804,441,11994,6,2
"X00001813","Villegas_Ruta_Nacional_N258","RHN",-41.5801,-71.4999,531,3765,4,1
"X00001814","Confluencia","RHN",-41.5868,-71.6837,457,15927,2,2
"X00001833","Poblador_Turra","RHN",-41.5935,-71.5209,499,14605,7,1
"X10417001","Maullin","DGA",-41.6153,-73.6,13,8913,4,2
"X10520001","Rio Puelo En Desague Lago Tagua Tagua","DGA",-41.6389,-72.1694,140,2431,0,0
"X10523001","Puelo","DGA",-41.6511,-72.3117,8,8195,0,0
"X00001836","Cerro_Mesa","RHN",-41.705,-70.4828,868,11955,10,1
"X00002267","Alto_Chubut_Nacimiento","RHN",-41.8061,-71.1242,923,16449,5,1
"X00002278","Norquinco","RHN",-41.8425,-70.8917,878,13108,4,0
"X10903003","Ancud 1 (Dga)","DGA",-41.8625,-73.8192,52,9183,3,0
"X10512000","Llanada Grande","DGA",-41.87,-71.9395,239,2359,0,0
"X10900002","Ancud 2 (Doh)","DGA",-41.8792,-73.7964,13,2349,0,0
"X10610001","Hornopiren","DGA",-41.9383,-72.435,26,6400,3,0
"X00001817","El_Azul","RHN",-41.9424,-71.5604,287,16693,5,0
"X00001896","Cuesta_del_Ternero","RHN",-41.9532,-71.3819,680,2099,0,1
"X00087800","El_Bolson_Aero","SMN",-41.9667,-71.5167,377,11441,2,0
"X00001894","Lago_Puelo_Oficina_Tecnica","RHN",-41.9836,-71.5231,334,19374,5,1
"X10904005","Chepu","DGA",-42.0464,-73.9742,36,7425,1,0
"X00002206","El_Maiten","RHN",-42.0997,-71.1699,695,21484,5,1
"X10900001","Quemchi","DGA",-42.1408,-73.4731,42,6515,2,1
"X00002222","Epuyen_Muelle","RHN",-42.2089,-71.4275,326,3305,0,0
"X00000021","Butalcura","INIA",-42.26,-73.65,154,4080,0,0
"X00000023","Huyar_Alto","INIA",-42.4,-73.56,52,4043,0,0
"X10901002","Castro 1 (Dga)","DGA",-42.4581,-73.7744,37,4983,0,0
"X10901004","Castro 2 (Doh)","DGA",-42.4794,-73.7742,24,2190,0,0
"X00002204","Cholila","RHN",-42.4956,-71.5411,535,21780,4,2
"X10906004","Cucao","DGA",-42.6186,-74.1081,17,8221,2,0
"X10901003","Chonchi","DGA",-42.6228,-73.7728,31,3260,0,0
"X00000027","Tara","INIA",-42.7,-73.78,157,3614,0,0
"X00002221","Lago_Verde","RHN",-42.7442,-71.7417,562,11818,1,2
"X10683001","Chaiten","DGA",-42.9147,-72.7108,16,3577,0,0
"X00002273","Valle_Chico","RHN",-42.9264,-71.265,593,19820,7,2
"X00420004","Chaiten Ad.","DMC",-42.9303,-72.7008,11,11648,4,1
"X00087803","Esquel_Aero","SMN",-42.9333,-71.15,793,20533,7,1
"X00002230","PN_Los_Alerces","RHN",-42.9719,-71.5789,613,10007,1,1
"X00002289","Lago_Situacion_Huemul","RHN",-43.0433,-71.8328,541,4819,6,1
"X00002233","Boquete_Nahuel_Pan","RHN",-43.0839,-71.2542,687,18830,6,2
"X10902002","Quellon","DGA",-43.1086,-73.6119,70,8837,4,1
"X00002284","Futaleufu_Puente_Tuberia","RHN",-43.13,-71.6278,345,13526,6,0
"X00002217","Escuela_N90","RHN",-43.1325,-71.5547,354,2789,0,0
"X00002213","Nanty_Fall_Ruta_Chile","RHN",-43.1656,-71.5143,341,16677,6,1
"X10710001","Puerto. Cardenas","DGA",-43.175,-72.4308,48,2560,0,1
"X00430002","Futaleufu Ad.","DMC",-43.1889,-71.8525,348,23017,10,1
"X00002239","Bagglits_Ruta_Chile","RHN",-43.1989,-71.5678,384,3828,0,0
"X10701001","Lago Espolon","DGA",-43.2158,-71.9306,350,6629,2,0
"X00000495","Colan Conhuo_EEA","INTA",-43.23,-69.92,843,1886,0,0
"X00002234","Lago_Rosario","RHN",-43.2356,-71.3616,719,19995,6,1
"X00002294","Hielo_Nacimiento","RHN",-43.325,-71.6403,1015,9663,1,0
"X11023002","Villa Santa Lucia","DGA",-43.4128,-72.3658,238,2028,0,1
"X10704002","Rio Futaleufu Ante Junta Rio Malito","DGA",-43.4492,-72.1075,66,1871,0,0
"X11023001","Valle Rio Frio","DGA",-43.4683,-72.3536,215,6520,2,1
"X00002201","Carrenleufu_","RHN",-43.528,-71.6003,323,6607,1,0
"X00002280","Carrenleufu_Puesto_Blanco","RHN",-43.5333,-71.5833,334,10865,2,0
"X00002298","Carrenleufu_Frontera","RHN",-43.5609,-71.7289,250,9990,4,1
"X00085834","Faro Guafo","DIRECTEMAR",-43.567,-74.827,131,1825,0,0
"X00430004","Alto Palenaad.","DMC",-43.6117,-71.8053,251,18437,5,2
"X10704001","Palena","DGA",-43.6175,-71.7839,268,6628,1,0
"X00002202","La_Elena","RHN",-43.6839,-71.3009,770,23343,10,1
"X00002285","Poncho_Moro_Nacimiento","RHN",-43.6878,-71.415,533,9848,0,1
"X11043001","Marin Balmaceda","DGA",-43.7717,-72.9547,10,7002,1,0
"X00087814","Paso_de_Indios","SMN",-43.8167,-68.8833,281,16993,8,0
"X00002296","Carrenleufu_Jaramillo","RHN",-43.8424,-71.2339,993,11447,3,0
"X00002207","Los_Altares","RHN",-43.8884,-68.3994,244,23427,9,1
"X11041001","La Junta","DGA",-43.9708,-72.4056,49,12522,3,0
"X11034001","Bordalit","DGA",-44.0483,-72.3161,74,4525,0,1
"X11031001","Lago Verde","DGA",-44.2394,-71.8461,348,5542,1,0
"X11120001","Puerto Puyuhuapi","DGA",-44.3228,-72.5597,10,12613,3,1
"X11143003","La Tapera","DGA",-44.6472,-71.6736,544,6592,0,0
"X11144002","Cisnes Medio","DGA",-44.6653,-72.2661,177,12935,2,3
"X11147003","Puerto Cisnes","DGA",-44.7278,-72.6814,17,18670,3,2
"X00002270","La_Paulina_Aserradero","RHN",-45.0016,-71.1681,839,17886,4,1
"X11180000","Islas Huichas","DGA",-45.1553,-73.5164,0,3113,0,0
"X11304001","Villa Maihuales","DGA",-45.1733,-72.1478,144,10075,1,0
"X11300001","Estancia Bao Nuevo","DGA",-45.2669,-71.5292,688,6623,1,0
"X11302002","Irehuao","DGA",-45.2706,-71.7092,530,7390,1,0
"X11307002","Villa Ortega","DGA",-45.3719,-71.9822,528,10440,3,0
"X00450001","Puerto Aysen Ad.","DMC",-45.3961,-72.6639,12,20702,9,3
"X11342002","Puerto Aysen","DGA",-45.4006,-72.7,0,9207,4,1
"X11318002","El Balseo","DGA",-45.4036,-72.4878,22,12139,2,2
"X11342001","Rio Aysen En Puerto Aysen","DGA",-45.4058,-72.6231,5,6339,3,1
"X11400001","Puerto Chacabuco","DGA",-45.4644,-72.8178,20,15351,6,1
"X11316004","Coyhaique Alto","DGA",-45.4803,-71.6044,724,5134,7,1
"X11317005","Coyhaique Conaf","DGA",-45.5511,-72.0589,366,5390,0,0
"X11317001","Rio Simpson Bajo Junta Coyhaique","DGA",-45.5517,-72.0681,201,5492,1,0
"X11316003","Coyhaique (Escuela Agricola)","DGA",-45.5739,-72.0286,339,10907,1,1
"X00000030","El_Claro","INIA",-45.58,-72.09,241,3113,0,0
"X00002269","Sarmiento_Aeroclub","RHN",-45.5811,-69.0749,270,14525,12,0
"X00450004","Teniente Vidal Coyhaique Ad.","DMC",-45.5939,-72.1086,295,24741,14,2
"X00000031","Tamelaike","INIA",-45.75,-72.06,411,3842,0,0
"X11310003","Rio Blanco Chico Antes Junta Oscuro","DGA",-45.8853,-71.7211,522,3139,0,0
"X00450005","Balmaceda Ad.","DMC",-45.9128,-71.6942,516,24713,10,1
"X00000032","Vista_Hermosa","INIA",-45.93,-71.83,679,3552,0,0
"X00002297","Senguerr_Los_Molinos","RHN",-45.9861,-69.4749,332,4594,0,0
"X11503001","Villa Cerro Castillo","DGA",-46.1206,-72.1539,364,8312,1,0
"X11505001","Rio Ibaez En Desembocadura","DGA",-46.2692,-71.9908,209,4898,0,0
"X11511001","Puerto Ibaez","DGA",-46.2892,-71.9336,218,10255,3,1
"X11513001","Bahia Murta","DGA",-46.4619,-72.6686,232,8131,4,0
"X00087852","Perito_Moreno_Aero","SMN",-46.5167,-71.0167,450,15514,6,0
"X00000035","Chile_Chico","INIA",-46.54,-71.69,212,4085,0,0
"X11521005","Lago General Carrera Fachinal","DGA",-46.5425,-72.2267,205,1989,0,0
"X11521002","Chile Chico","DGA",-46.5436,-71.7089,214,8682,0,1
"X00460001","Chile Chico Ad.","DMC",-46.5808,-71.6928,305,21945,8,1
"X00085889","Faro Raper","DIRECTEMAR",-46.803,-75.638,18,1822,0,0
"X11523001","Puerto Guadal","DGA",-46.8428,-72.7008,211,5665,1,0
"X11517002","Lago General Carrera En Desage","DGA",-46.8456,-72.8033,209,1916,0,0
"X11532000","Rio Nef Antes Junta Estero El Revalse","DGA",-47.1378,-73.0869,292,2537,0,0
"X11536004","Rio Baker En Angostura Chacabuco","DGA",-47.1414,-72.7258,143,6039,0,0
